Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
skunk.png,beaker.png,binderclip.png,tape.png,skunk.mp3,1,filler,A,,822,822,1432
snail.png,coffin.png,gum.png,lettuce.png,coffin.mp3,2,filler,A,,977,977,1716
witch.png,turkey.png,pyramid.png,cheese.png,pyramid.mp3,3,filler,A,,1006,1006,1724
fly.png,palmtree.png,recordplayer.png,donut.png,donut.mp3,4,filler,A,,1120,1120,1780
skeleton.png,dishsoap.png,tack.png,recyclingbin.png,skeleton.mp3,1,filler,A,,914,914,1779
bouncehouse.png,taxi.png,waterfall.png,dentures.png,taxi.mp3,2,filler,A,,1088,1088,1809
camel.png,stamp.png,syringe.png,limo.png,syringe.mp3,3,filler,A,,965,965,1878
peanutbutter.png,whale.png,sunscreen.png,hospital.png,hospital.mp3,4,filler,A,,870,870,1689
bathtub.png,raspberry.png,pill.png,elf.png,bathtub.mp3,1,filler,A,,975,975,1762
island.png,rose.png,oven.png,porcupine.png,rose.mp3,2,filler,A,,970,970,1793
jelly.png,banjo.png,telescope.png,panda.png,telescope.mp3,3,filler,A,,1020,1020,2037
stopsign.png,quilt.png,donkey.png,slinky.png,slinky.mp3,4,filler,A,,874,874,1717
fire.png,checkbook.png,koala.png,scrunchie.png,fire.mp3,1,filler,A,,921,921,1579
spring.png,hoodie.png,kangaroo.png,tray.png,hoodie.mp3,2,filler,A,,830,830,1298
puzzle.png,towel.png,vendingmachine.png,stretcher.png,vendingmachine.mp3,3,filler,A,,998,998,2040
waffles.png,cigar.png,diaper.png,parrot.png,parrot.mp3,4,filler,A,,1063,1063,1755
cooler.png,ducttape.png,bat.png,beret.png,cooler.mp3,1,filler,A,,1093,1093,1672
wolf.png,blender.png,earbuds.png,crane.png,blender.mp3,2,filler,A,,1064,1064,1723
beet.png,indexcards.png,crib.png,paint.png,crib.mp3,3,filler,A,,1037,1037,1664
crepe.png,scale.png,cheetah.png,pajamas.png,pajamas.mp3,4,filler,A,,997,997,1885
croissant.png,underwear.png,traintracks.png,passport.png,croissant.mp3,1,practice,A,,957,957,1787
protractor.png,floss.png,nachos.png,snorkel.png,floss.mp3,2,practice,A,,903,903,1715
tractor.png,walker.png,compass.png,pawprint.png,compass.mp3,3,practice,A,,1036,1036,1840
tulip.png,raccoon.png,gps.png,church.png,church.mp3,4,practice,A,,1042,1042,1797
starfish.png,car.png,sponge.png,coffeebean.png,starfish.mp3,1,practice,A,,938,938,1994
